title,release_year,production_company,distributor,director,writer,actor_1,actor_2,actor_3,location_funfact,movie_like_counter,location_like_counter
Magnum Force,1973,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,"{""18th Street Overpass (Potrero Hill)"": """", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Hall of Justice (850 Bryant Street)"": """", ""2190 Washington Street (Pacific Heights)"": """", ""Vermont Street between 20th and 22nd Streets"": """", ""Embarcadero Freeway"": ""demolished"", ""280 Freeway at Pennsylvania and Mariposa Streets"": """", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""San Francisco International Airport"": ""SFO has a museum dedicated to aviation history."", ""San Francisco Drydock (20th and Illinois Streets)"": """", ""Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)"": """", ""Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"": ""This is SF's only drawbridge, and was named after Francis Joseph \""Lefty\"" O'Doul, a local baseball hero."", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Cost Plus World Market (2552 Taylor Street)"": """", ""Broadway Tunnel (Russian Hill)"": """"}",0,0
When a Man Loves a Woman,1994,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,"{""Buena Vista Caf\u00e9 (2765 Hyde Street)"": """", ""Cybelle's Pizza (1000 Bush Street)"": """", ""Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)"": ""The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels."", ""Spring Valley School (1451 Jackson Street)"": """", ""International Studies Academy (993 Vermont Street, Potrero Hill)"": """", ""Grant Street at Pacific Avenue"": """", ""766 Vallejo Street at Stockton Street (North Beach)"": """", ""1521 Masonic Avenue at Piedmont Street"": """"}",0,0
Junior,1994,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,"{""722 Steiner Street"": """", ""United Nations Plaza (Civic Center)"": ""United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved."", ""Hyatt Fisherman's Wharf (555 Northpoint Street)"": """", ""Chinatown Gate"": ""Designed in 1970, the Chinatown Gate (aka the Dragon Gate) is based on ceremonial gates found in Chinese villages."", ""2552 Hyde Street"": """", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": """", ""Postcard Row (Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.""}",0,0
Maxie,1985,Elsboy Entertainment,Orion Pictures Corporation,Paul Aaron,Patricia Resnick,Glenn Close,Mandy Patinkin,Ruth Gordon,"{""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""Asian Art Museum (200 Larkin Street, Civic Center)"": ""The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991."", ""722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.""}",0,0
Final Analysis,1992,Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,"{""Westin St. Francis Hotel (335 Powell Street, Union Square)"": ""The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels."", ""Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)"": ""In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use."", ""Presidio, Golden Gate National Recreation Area"": ""In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use."", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Bix Restaurant (56 Gold Street)"": """"}",0,0
Patty Hearst,1988,Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames,"{""Bank of America (38th Street at Balboa Street)"": ""The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."", ""Postcard Row (Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.""}",0,0
Chance- Season 1 ep104,2016,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Bayview Police Station, 201 Williams Ave."": """", ""Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd."": """", ""Miraloma Mall at Portola Frontage Road"": """", ""15th St. between Vermont and Kansas"": """", ""11 San Jacinto Ave."": """", ""Bush and Sansome St."": """", ""901/909Tennessee St."": """", ""200 Kansas St."": """", ""1018 Tennessee St."": """", ""Palace of Fine Arts"": ""The Palace of Fine Arts was designed by Bernard Maybeck and was originally constructed for the 1915 Panama-Pacific Exposition.\u00a0 It has been in films such as Time After Time, The Room, Twisted, So I Married An Axe Murderer and The Rock.""}",0,0
Flubber,1997,Walt Disney Pictures,Buena Vista Pictures,Les Mayfield,Samuel W. Taylor,Robin Williams,Marcia Gay Harden,,"{""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.""}",0,0
Forrest Gump,1994,Paramount Pictures,Paramount Pictures,Robert Zemeckis,Eric Roth,Tom Hanks,Robin Wright,,"{""Palace of Fine Arts (3301 Lyon Street)"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.""}",0,0
40 Days and 40 Nights,2002,Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,"{""The Walden House, Buena Vista Park"": ""Established in 1867, Buena Vista Park is the oldest official park in San Francisco."", ""Caf\u00e9 Trieste (609 Vallejo)"": ""Francis Ford Coppola allegedly wrote large portions of \""The Godfather\"" trilogy in Caf\u00e9 Trieste.""}",0,0
A Taiwanese Tale of Two Cities,2018,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,"{""700 Block of Grant Ave."": """", ""Civic Center Plaza"": """", ""2751 Mission St"": """", ""Waverly Place"": """", ""Texas St at 19th St"": """", ""Fulton St at Larkin St"": """", ""Steiner St at Fulton St"": """", ""Dolores Park"": """", ""Palace of Fine Arts (3301 Lyon Street)"": """", ""Castro Theatre, 429 Castro St."": """", ""Sutter St at Taylor St"": """", ""738 Washington St"": """", ""San Francisco City Hall"": """", ""Pier 7"": """", ""Bernal Heights Park"": """", ""1653 Haight and 1400-1500 blocks of Haight St"": """", ""Pier 5"": """"}",0,0
Red Widow,2013,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,"{""York & 24th St."": """", ""2nd St & Howard"": """", ""Montgomery & Market Streets"": """", ""Broadway & Taylor"": """", ""Mason & Sacramento St"": """", ""Geary & 27th Ave"": """", ""Geary & 20th Ave"": """", ""Pioneer Park at Coit Tower"": """", ""Vallejo Street Garage"": """", ""California & Davis St"": """", ""Golden Gate Ave & Jones"": """"}",0,0
Etruscan Smile,2017,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"{""St Regis Hotel, 125 3rd Street"": """", ""Jones @ Broadway"": """", ""Broadway @ Jones Streets"": """", ""Outpost Studios, 69 Green Street"": """", ""Mudpie, 2185 Fillmore Street"": """", ""Benu Restaurant, 22 Hawthorne Street"": """", ""California Street between Front and Davis"": """", ""California Street between Sansome & Davis"": """", ""343 Union Street"": """", ""Laguna Honda Hospital, 375 Laguna Honda Blvd."": """", ""Pier 14 San Francisco"": """", ""UCSF Mt Zion 1600 Divisadero"": """", ""Hooker Alley Garden on Mason between Bush & Pine"": """", ""Legion of Honor, 100 34th Ave"": ""California Palace of the Legion of Honor was completed in 1924, and on Armistice Day of that year the doors opened to the public. In keeping with the wishes of the donors, to \u201chonor the dead while serving the living,\u201d it was accepted by the city of San Francisco as a museum of fine arts dedicated to the memory of the 3,600 California men who had lost their lives on the battlefields of France during World War I."", ""3rd Street between Market & Harrison"": """", ""1227 Montgomery Street"": """", ""San Francisco Airport"": """", ""Turk Street between Mason & Leavenworth"": """", ""Treasure Island"": """", ""San Francisco City Hall"": ""The museum party interiors were shot in the Historic San Francisco City Hall."", ""225 California Street"": """", ""Bentley Reserve, 301 Battery Street"": ""The Bentley Reserve is the former San Francisco Federal Reserve. Designed by architect George W. Kelham and completed in 1924, the building has been a prominent landmark of the Financial District for 89 years."", ""Marriott Marquis, 780 Mission Street"": ""The Marriott Marquis opened on October 17, 1989, the day of the Loma Prieta earthquake.[7] With better earthquake proofing than several nearby hotels, the building only lost a single window.[7]"", ""Mason Street @ Vallejo "": """", ""Pier 39 San Francisco"": """", ""Andronico's, 1200 Irving Street"": """", ""Castle Street @ Green Street"": """", ""Chaya / Perry's 132 Embarcadero"": """", ""Mason Street @ Vallejo"": """"}",0,0
Sphere,1998,Constant c Productions,Warner brothers Pictures,Barry Levinson,Kurt Wimmer,Dustin Hoffman,Sharon Stone,,"{""S.S. Jeremiah O'Brien"": """"}",0,0
Fearless,1993,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,"{""5th and Beale Streets"": """", ""Bank of America Building (555 California Street)"": ""The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."", ""Varennes Alley between Filbert and Union"": """", ""Folsom Street & Embarcadero"": """", ""Kohl Building (400 Montgomery Street)"": """", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""400 Montgomery Street"": """", ""San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"": ""SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County."", ""90 Gold Street"": """"}",0,0
The Birds,1963,Universal Pictures,Universal Pictures,Alfred Hitchcock,Evan Hunter,Tippi Hedren,Suzanne Pleshette,Rod Taylor,"{""Powell and Geary Streets (Union Square)"": ""The pet shop featured in the film does not exist, but was based on the now-closed Robison's House of Pets formerly located on Maiden Lane.""}",0,0
Greed,1924,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt,"{""Bush and Sutter Streets"": """", ""Hayes Street at Laguna"": """", ""Cliff House (1090 Point Lobos Avenue)"": ""In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.""}",0,0
"Budding Prospects, Pilot",2017,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,"{""1641 York Street"": """", ""Gough Street & Clay Street"": """", ""3050 24th Street"": """", ""40 Prentiss Street"": """", ""2007 Franklin Street"": """", ""3033 24th Street"": """", ""1125 Guerrero Street"": """", ""1167 Alabama Street"": """", ""2937 24th Street"": """", ""Bernal Heights Boulevard"": """", ""500 Cortland Avenue"": """", ""Lucky Street"": """", ""951 Hudson Avenue"": """"}",0,0
George of the Jungle,1997,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,"{""755 Vallejo Street"": """", ""The Tamalpais Building (1201 Greenwich Street at Hyde)"": """", ""Neiman Marcus (150 Stockton Street, Union Square)"": ""The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design."", ""First Bank (550 Montgomery Street at Commercial)"": ""Called \""Stanhope Bank\"" in the film."", ""Bay Bridge"": ""Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.""}",0,0
It Came From Beneath the Sea,1955,Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,Faith Domergue,Donald Curtis,"{""Chrissy Field"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Hunters Point"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
The Pursuit of Happyness,2006,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,"{""Glide Memorial Church (434 Ellis St)"": """", ""Candlestick Park (602 Jamestown Ave.)"": ""Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park."", ""Glen Park Subway Station"": """", ""Golden Gate Park Children's Playground "": ""Golden Gate Park is similar in shape but 20% larger than New York's Central Park."", ""Golden Gate Park Children's Playground"": ""Golden Gate Park is similar in shape but 20% larger than New York's Central Park.""}",0,0
God is a Communist?* (show me heart universe),2010,Trismegistus Productions,,Jon Poznanter,Jon Poznanter,John Wynn,,,"{""Sacramento & Washington Streets"": """"}",0,0
Hulk,2003,Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,"{""Telegraph Hill"": ""Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city."", ""Vallejo Street at Sansome"": """", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.""}",0,0
The Presidio,1988,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Presidio (Golden Gate National Recreation Area)"": ""In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. "", ""Fort Point (Presidio, Golden Gate National Recreation Area)"": ""Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF."", ""Montgomery & Vallejo Streets (Telegraph Hill)"": """", ""700 Block of Jackson Street (Chinatown)"": """", ""Battery Street (The Embarcadero)"": """", ""Washington Street & Waverly Place (Chinatown)"": """", ""Sansome Street (The Embarcadero)"": """", ""900 Block of Grant Avenue (Chinatown)"": """", ""Market & 2nd Streets"": """", ""Hayes & Polk Streets (Civic Center)"": """", ""200 Block of Sansome Street (Financial District)"": """", ""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."", ""Civic Center Plaza"": """", ""Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.""}",0,0
Petulia,1968,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,"{""Cala Foods (California Street and Hyde)"": """", ""307 Filbert Street"": """", ""2417 Franklin Street"": """", ""Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park"": ""The Japanese Hagiwara family invented \""Chinese\"" fortune cookies in the tea-garden"", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Pier 43 1/2"": """", ""Fort Point (Presidio, Golden Gate National Recreation Area)"": ""Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.""}",0,0
Vertigo,1958,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,"{""900 Lombard Street"": ""Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd."", ""Mission San Juan Bautista (2nd & Mariposa Streets)"": """", ""Ernie's Restaurant (847 Montgomery Street)"": ""Called the \""Essex Club\"" in the film."", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""York Hotel (940 Sutter Street)"": """", ""Conservatory of Flowers (Golden Gate Park)"": ""The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere."", ""Park Hill Sanatorium (351 Buena Vista Avenue East)"": ""This location is now a condominium complex."", ""California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)"": ""Built in 1924, the Legion of Honor is a 3/4 replica of the Parisian Palais de la Legion d'Honneur. "", ""Gough & Eddy Streets (Western Addition)"": """", ""Brocklebank Apartments (1000 Mason Street)"": """", ""Claude Lane at Bush Street"": """", ""Mission Dolores (3321 16th Street, Mission District)"": ""Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes."", ""1007 Gough Street"": ""Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home."", ""Fort Point (Presidio, Golden Gate National Recreation Area)"": ""Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF."", ""Palace of Fine Arts (3301 Lyon Street)"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965."", ""San Francisco Drydock (20th and Illinois Streets)"": """"}",0,0
Chance - Season 1 Pilot,2016,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Harvey Milk Rec Center, 50 Scott St."": """", ""UN Plaza/ Civic Center Bart steps"": """", ""Jonell's Bar, 401 Ellis"": """", ""60 Leavenworth St."": """", ""Ellis and Jones St."": """", ""William Stout Architectural Books, 804 Montgomery St."": """", ""Warren's Antiques, 375 9th St."": """", ""253 4th Ave."": """", ""State Garage, 818 Leavenworth"": """", ""Ellis Food Center, 398 Ellis"": """", ""1055 Montgomery St."": """", ""Jefferson Square Park"": """", ""940 Powell St."": """", ""Antonio Alley"": """", ""66 Potomac"": """", ""Washington Square Park"": """", ""Mario's Caf\u00e9, 566 Columbus"": """"}",0,0
The Diary of a Teenage Girl,2015,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,"{""Yerba Buena Island"": """", ""Geary St. from Polk to Larkin"": """", ""Hamburger Haven"": """", ""770 Haight St."": """", ""Polk and Northpoint St."": """", ""Victoria Theatre"": """", ""SPECS' Twelve Adler Museum Caf\u00e9"": """", ""Ocean Beach at Point Lobos"": """", ""700 Kansas St."": """", ""Presidio Branch Library"": """", ""The Royal Oak"": """", ""Tonic"": """", ""Tank Hill Park"": """", ""Higher Grounds Coffee House"": """", ""304 Lily St."": """", ""The Magazine at 920 Larkin"": """"}",0,0
The Wedding Planner,2001,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,"{""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)"": ""The Japanese Hagiwara family invented \""Chinese\"" fortune cookies in the tea-garden"", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)"": ""Golden Gate Park is similar in shape but 20% larger than New York's Central Park."", ""Pier 7 (The Embarcadero)"": """", ""Montgomery Street at Union Street"": """", ""Pleasant Street at Taylor"": """", ""Lincoln Park"": ""The land on which the park stands was a cemetery until the late 1860s.""}",0,0
Heart and Souls,1993,Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,"{""Stockton Tunnel (Stockton Street at Sutter Street)"": ""Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area."", ""2810 Pacific Avenue"": """", ""Conservatory of Flowers (Golden Gate Park)"": ""The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere."", ""War Memorial Opera House (401 Van Ness Avenue)"": ""In 1945 the United Nations had its first conference at The War Memorial Opera House.""}",0,0
The Conversation,1974,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,"{""Saks Fifth Avenue (384 Post Street, Union Square)"": """", ""Alcoa Building (1 Maritime Plaza)"": ""A partially-above ground parking structure near the building made it necessary for architects to make the Alcoa Building's diagonal bracing visible, instead of placing it inside and drastically reducing the amount usable interior space. "", ""One Embarcadero Center (Financial District)"": """", ""Financial District"": """", ""Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)"": """", ""Westin St. Francis Hotel (335 Powell Street, Union Square)"": ""The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels."", ""Neiman Marcus (150 Stockton Street, Union Square)"": ""In the film the City of Paris Department Store is featured. That establishment was located where Neiman Marcus stands today"", ""American Roofing Co. Building (297 Kansas Street, Potrero Hill)"": """", ""Alamo Square (Hayes Valley)"": """", ""Alta Plaza Park (Steiner Street)"": ""The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910."", ""Union Square"": ""During the Civil War, pro-Union rallies were held in the Square, and thus the area was called \""Union Square\"".""}",0,0
Looking Season 2 ep 206,2015,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"{""770 Haight Street"": """", ""1890 Clay Street"": """", ""745 Treat Ave."": """"}",0,0
GirlBoss,2017,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,"{""Filbert between Grant and Kearny"": """", ""Green and Divisadero"": """", ""Macchiarini Steps, Kearny between Vallejo and Broadway"": ""The namesake for the steps was an Italian-American California-based modernist jeweler and sculptor who pioneered avant-garde jewelry."", ""Mission between 19th and 25th St."": """", ""1375 Haight St."": """", ""Various Haight St. Vintage Shops"": """", ""Musee Mecanique, Fisherman's Wharf"": ""An interactive museum consisting of 20th century penny arcade games and artifacts."", ""Underground SF, 424 Haight St."": """", ""Mission Thrift, 2330 Mission St."": """", ""Fillmore and Waller"": """", ""Boulevard Restaurant, 1 Mission St."": """", ""Taylor and Union"": """", ""Mission Dolores Park, 19th St. & Dolores St."": ""After the devastating earthquake of 1906, the park served as a refugee camp for more than 1600 families who lost their home in the disaster."", ""Grant between California and Washington"": """", ""The Castro Theater, 429 Castro St."": """", ""Filbert and Kearny Steps"": """", ""Clarion Alley between Valencia and Mission"": ""The murals that make up this famous alley were first painted in 1992 and still looked after by the Clarion Alley Mural Project."", ""Clayton Post Office, 554 Clayton St."": """", ""La Taqueria, 2889 Mission St."": ""The restaurant was given the honor of \""America's Best Burrito\"" in 2014 by ESPN's FiveThirtyEight."", ""Filbert between Leavenworth and Hyde"": """", ""Fillmore between Haight and Waller"": """"}",0,0
Red Diaper Baby,2004,Hello Hooker Productions,Sundance Channel,Doug Pray,Josh Kornbluth,Josh Kornbluth,,,"{""Magic Theater (Fort Mason, Golden Gate National Recreation Area)"": ""Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.""}",0,0
Hereafter,2010,GT Films,Warner Bros. Pictures,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,"{""Hobart Building (582 Market Street)"": """", ""The Final Final (2990 Baker Street)"": """", ""1160 Taylor Street"": """"}",0,0
Sneakers,1992,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier,Robert Redford,,"{""Hills Brothers Plaza (The Embarcadero at Harrison)"": """", ""The Embarcadero"": """"}",0,0
Milk,2008,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,"{""Duboce Park"": """", ""El Camino Del Mar"": """", ""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident."", ""Market & Castro Street"": ""From 1910-1920 the Castro was called \""Little Scandinavia\"" because of its high concentration of residents of Scandinavian ancestry."", ""Marine Fireman's Union Headquarters"": """", ""Lower Haight Street"": """", ""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""29th and Dolores Street"": """", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""424 Sansome Street"": """"}",0,0
